,class
5431,STAR
5432,QSO
5433,GALAXY
5434,GALAXY
5435,GALAXY
5436,GALAXY
5437,GALAXY
5438,GALAXY
5439,QSO
5440,QSO
5441,STAR
5442,STAR
5443,STAR
5444,QSO
5445,GALAXY
5446,GALAXY
5447,QSO
5448,GALAXY
5449,GALAXY
5450,STAR
5451,STAR
5452,STAR
5453,STAR
5454,STAR
5455,GALAXY
5456,QSO
5457,GALAXY
5458,STAR
5459,STAR
5460,STAR
5461,STAR
5462,STAR
5463,STAR
5464,GALAXY
5465,STAR
5466,GALAXY
5467,STAR
5468,STAR
5469,STAR
5470,STAR
5471,STAR
5472,GALAXY
5473,GALAXY
5474,STAR
5475,QSO
5476,STAR
5477,STAR
5478,QSO
5479,STAR
5480,STAR
5481,GALAXY
5482,GALAXY
5483,GALAXY
5484,STAR
5485,STAR
5486,STAR
5487,GALAXY
5488,STAR
5489,STAR
5490,GALAXY
5491,STAR
5492,STAR
5493,STAR
5494,GALAXY
5495,STAR
5496,GALAXY
5497,STAR
5498,STAR
5499,STAR
5500,STAR
5501,STAR
5502,GALAXY
5503,GALAXY
5504,GALAXY
5505,GALAXY
5506,STAR
5507,GALAXY
5508,STAR
5509,STAR
5510,GALAXY
5511,GALAXY
5512,STAR
5513,GALAXY
5514,STAR
5515,STAR
5516,STAR
5517,STAR
5518,STAR
5519,GALAXY
5520,GALAXY
5521,GALAXY
5522,STAR
5523,GALAXY
5524,GALAXY
5525,STAR
5526,QSO
5527,GALAXY
5528,STAR
5529,QSO
5530,GALAXY
5531,STAR
5532,STAR
5533,GALAXY
5534,QSO
5535,STAR
5536,STAR
5537,GALAXY
5538,GALAXY
5539,GALAXY
5540,GALAXY
5541,STAR
5542,GALAXY
5543,GALAXY
5544,GALAXY
5545,STAR
5546,GALAXY
5547,STAR
5548,GALAXY
5549,GALAXY
5550,GALAXY
5551,GALAXY
5552,GALAXY
5553,GALAXY
5554,GALAXY
5555,STAR
5556,STAR
5557,STAR
5558,STAR
5559,STAR
5560,STAR
5561,STAR
5562,GALAXY
5563,GALAXY
5564,QSO
5565,STAR
5566,GALAXY
5567,GALAXY
5568,GALAXY
5569,STAR
5570,GALAXY
5571,GALAXY
5572,GALAXY
5573,STAR
5574,GALAXY
5575,STAR
5576,GALAXY
5577,STAR
5578,QSO
5579,QSO
5580,STAR
5581,GALAXY
5582,STAR
5583,QSO
5584,STAR
5585,GALAXY
5586,STAR
5587,GALAXY
5588,GALAXY
5589,GALAXY
5590,QSO
5591,STAR
5592,STAR
5593,STAR
5594,GALAXY
5595,GALAXY
5596,GALAXY
5597,STAR
5598,STAR
5599,STAR
5600,GALAXY
5601,STAR
5602,STAR
5603,STAR
5604,GALAXY
5605,GALAXY
5606,STAR
5607,GALAXY
5608,STAR
5609,STAR
5610,GALAXY
5611,GALAXY
5612,GALAXY
5613,GALAXY
5614,STAR
5615,STAR
5616,STAR
5617,STAR
5618,STAR
5619,QSO
5620,STAR
5621,QSO
5622,STAR
5623,GALAXY
5624,STAR
5625,GALAXY
5626,GALAXY
5627,GALAXY
5628,GALAXY
5629,STAR
5630,GALAXY
5631,GALAXY
5632,GALAXY
5633,STAR
5634,GALAXY
5635,GALAXY
5636,STAR
5637,GALAXY
5638,GALAXY
5639,STAR
5640,QSO
5641,QSO
5642,GALAXY
5643,GALAXY
5644,QSO
5645,STAR
5646,STAR
5647,STAR
5648,QSO
5649,GALAXY
5650,GALAXY
5651,GALAXY
5652,STAR
5653,GALAXY
5654,QSO
5655,STAR
5656,STAR
5657,STAR
5658,GALAXY
5659,STAR
5660,QSO
5661,STAR
5662,GALAXY
5663,STAR
5664,QSO
5665,GALAXY
5666,GALAXY
5667,GALAXY
5668,GALAXY
5669,STAR
5670,STAR
5671,STAR
5672,GALAXY
5673,GALAXY
5674,STAR
5675,GALAXY
5676,STAR
5677,GALAXY
5678,STAR
5679,STAR
5680,GALAXY
5681,STAR
5682,QSO
5683,STAR
5684,STAR
5685,GALAXY
5686,QSO
5687,GALAXY
5688,STAR
5689,STAR
5690,GALAXY
5691,GALAXY
5692,GALAXY
5693,STAR
5694,QSO
5695,STAR
5696,STAR
5697,GALAXY
5698,STAR
5699,STAR
5700,QSO
5701,STAR
5702,GALAXY
5703,GALAXY
5704,GALAXY
5705,STAR
5706,GALAXY
5707,QSO
5708,GALAXY
5709,GALAXY
5710,GALAXY
5711,GALAXY
5712,GALAXY
5713,GALAXY
5714,GALAXY
5715,STAR
5716,STAR
5717,GALAXY
5718,STAR
5719,STAR
5720,STAR
5721,QSO
5722,GALAXY
5723,STAR
5724,GALAXY
5725,GALAXY
5726,STAR
5727,STAR
5728,GALAXY
5729,STAR
5730,STAR
5731,STAR
5732,STAR
5733,GALAXY
5734,STAR
5735,GALAXY
5736,GALAXY
5737,STAR
5738,GALAXY
5739,GALAXY
5740,QSO
5741,QSO
5742,GALAXY
5743,STAR
5744,STAR
5745,QSO
5746,GALAXY
5747,STAR
5748,QSO
5749,STAR
5750,STAR
5751,STAR
5752,STAR
5753,QSO
5754,STAR
5755,STAR
5756,GALAXY
5757,GALAXY
5758,QSO
5759,GALAXY
5760,STAR
5761,STAR
5762,STAR
5763,GALAXY
5764,QSO
5765,STAR
5766,GALAXY
5767,GALAXY
5768,STAR
5769,GALAXY
5770,STAR
5771,STAR
5772,GALAXY
5773,STAR
5774,STAR
5775,STAR
5776,STAR
5777,STAR
5778,GALAXY
5779,GALAXY
5780,STAR
5781,STAR
5782,GALAXY
5783,GALAXY
5784,GALAXY
5785,STAR
5786,QSO
5787,STAR
5788,GALAXY
5789,GALAXY
5790,GALAXY
5791,GALAXY
5792,GALAXY
5793,GALAXY
5794,QSO
5795,QSO
5796,GALAXY
5797,STAR
5798,STAR
5799,STAR
5800,GALAXY
5801,STAR
5802,GALAXY
5803,GALAXY
5804,STAR
5805,QSO
5806,STAR
5807,STAR
5808,GALAXY
5809,STAR
5810,STAR
5811,STAR
5812,STAR
5813,GALAXY
5814,GALAXY
5815,GALAXY
5816,GALAXY
5817,STAR
5818,GALAXY
5819,QSO
5820,GALAXY
5821,GALAXY
5822,GALAXY
5823,STAR
5824,GALAXY
5825,STAR
5826,STAR
5827,GALAXY
5828,STAR
5829,GALAXY
5830,GALAXY
5831,STAR
5832,GALAXY
5833,GALAXY
5834,STAR
5835,STAR
5836,STAR
5837,STAR
5838,GALAXY
5839,STAR
5840,STAR
5841,STAR
5842,GALAXY
5843,GALAXY
5844,GALAXY
5845,STAR
5846,STAR
5847,GALAXY
5848,GALAXY
5849,STAR
5850,STAR
5851,QSO
5852,GALAXY
5853,GALAXY
5854,GALAXY
5855,STAR
5856,QSO
5857,GALAXY
5858,GALAXY
5859,GALAXY
5860,GALAXY
5861,GALAXY
5862,STAR
5863,GALAXY
5864,QSO
5865,GALAXY
5866,STAR
5867,STAR
5868,STAR
5869,GALAXY
5870,GALAXY
5871,GALAXY
5872,GALAXY
5873,GALAXY
5874,STAR
5875,GALAXY
5876,GALAXY
5877,GALAXY
5878,GALAXY
5879,GALAXY
5880,STAR
5881,STAR
5882,GALAXY
5883,STAR
5884,GALAXY
5885,GALAXY
5886,GALAXY
5887,GALAXY
5888,STAR
5889,QSO
5890,QSO
5891,GALAXY
5892,STAR
5893,STAR
5894,GALAXY
5895,GALAXY
5896,STAR
5897,GALAXY
5898,STAR
5899,STAR
5900,GALAXY
5901,GALAXY
5902,GALAXY
5903,STAR
5904,GALAXY
5905,GALAXY
5906,GALAXY
5907,STAR
5908,QSO
5909,GALAXY
5910,STAR
5911,STAR
5912,STAR
5913,GALAXY
5914,GALAXY
5915,GALAXY
5916,GALAXY
5917,GALAXY
5918,QSO
5919,GALAXY
5920,STAR
5921,STAR
5922,GALAXY
5923,GALAXY
5924,GALAXY
5925,STAR
5926,GALAXY
5927,GALAXY
5928,STAR
5929,STAR
5930,QSO
5931,QSO
5932,GALAXY
5933,STAR
5934,STAR
5935,GALAXY
5936,GALAXY
5937,STAR
5938,STAR
5939,GALAXY
5940,GALAXY
5941,GALAXY
5942,GALAXY
5943,STAR
5944,STAR
5945,GALAXY
5946,GALAXY
5947,STAR
5948,GALAXY
5949,STAR
5950,QSO
5951,GALAXY
5952,QSO
5953,QSO
5954,STAR
5955,STAR
5956,GALAXY
5957,QSO
5958,STAR
5959,STAR
5960,GALAXY
5961,GALAXY
5962,GALAXY
5963,STAR
5964,STAR
5965,STAR
5966,GALAXY
5967,QSO
5968,STAR
5969,GALAXY
5970,STAR
5971,GALAXY
5972,GALAXY
5973,GALAXY
5974,GALAXY
5975,GALAXY
5976,STAR
5977,STAR
5978,GALAXY
5979,STAR
5980,GALAXY
5981,STAR
5982,GALAXY
5983,STAR
5984,STAR
5985,STAR
5986,STAR
5987,GALAXY
5988,GALAXY
5989,GALAXY
5990,GALAXY
5991,GALAXY
5992,GALAXY
5993,GALAXY
5994,GALAXY
5995,GALAXY
5996,GALAXY
5997,GALAXY
5998,STAR
5999,GALAXY
6000,STAR
6001,STAR
6002,STAR
6003,STAR
6004,QSO
6005,GALAXY
6006,GALAXY
6007,GALAXY
6008,STAR
6009,STAR
6010,STAR
6011,GALAXY
6012,GALAXY
6013,GALAXY
6014,GALAXY
6015,GALAXY
6016,STAR
6017,GALAXY
6018,GALAXY
6019,STAR
6020,STAR
6021,STAR
6022,STAR
6023,GALAXY
6024,GALAXY
6025,GALAXY
6026,GALAXY
6027,STAR
6028,GALAXY
6029,STAR
6030,STAR
6031,GALAXY
6032,STAR
6033,GALAXY
6034,GALAXY
6035,STAR
6036,GALAXY
6037,STAR
6038,STAR
6039,GALAXY
6040,GALAXY
6041,GALAXY
6042,STAR
6043,STAR
6044,GALAXY
6045,GALAXY
6046,STAR
6047,STAR
6048,STAR
6049,STAR
6050,GALAXY
6051,GALAXY
6052,GALAXY
6053,QSO
6054,STAR
6055,STAR
6056,STAR
6057,GALAXY
6058,GALAXY
6059,QSO
6060,STAR
6061,GALAXY
6062,STAR
6063,GALAXY
6064,QSO
6065,STAR
6066,QSO
6067,GALAXY
6068,QSO
6069,STAR
6070,STAR
6071,GALAXY
6072,GALAXY
6073,GALAXY
6074,STAR
6075,STAR
6076,GALAXY
6077,STAR
6078,QSO
6079,GALAXY
6080,STAR
6081,GALAXY
6082,GALAXY
6083,STAR
6084,STAR
6085,GALAXY
6086,STAR
6087,GALAXY
6088,GALAXY
6089,GALAXY
6090,STAR
6091,STAR
6092,STAR
6093,GALAXY
6094,GALAXY
6095,QSO
6096,STAR
6097,GALAXY
6098,GALAXY
6099,GALAXY
6100,GALAXY
6101,STAR
6102,STAR
6103,GALAXY
6104,STAR
6105,QSO
6106,GALAXY
6107,STAR
6108,GALAXY
6109,QSO
6110,GALAXY
6111,GALAXY
6112,GALAXY
6113,STAR
6114,STAR
6115,STAR
6116,GALAXY
6117,GALAXY
6118,QSO
6119,STAR
6120,GALAXY
6121,GALAXY
6122,GALAXY
6123,STAR
6124,STAR
6125,GALAXY
6126,STAR
6127,STAR
6128,QSO
6129,GALAXY
6130,GALAXY
6131,STAR
6132,STAR
6133,STAR
6134,GALAXY
6135,GALAXY
6136,GALAXY
6137,QSO
6138,STAR
6139,STAR
6140,GALAXY
6141,GALAXY
6142,GALAXY
6143,STAR
6144,STAR
6145,STAR
6146,GALAXY
6147,STAR
6148,STAR
6149,GALAXY
6150,GALAXY
6151,QSO
6152,GALAXY
6153,GALAXY
6154,QSO
6155,QSO
6156,STAR
6157,GALAXY
6158,STAR
6159,STAR
6160,GALAXY
6161,QSO
6162,STAR
6163,GALAXY
6164,GALAXY
6165,STAR
6166,GALAXY
6167,STAR
6168,GALAXY
6169,GALAXY
6170,STAR
6171,GALAXY
6172,GALAXY
6173,GALAXY
6174,STAR
6175,GALAXY
6176,STAR
6177,GALAXY
6178,STAR
6179,GALAXY
6180,STAR
6181,GALAXY
6182,QSO
6183,STAR
6184,QSO
6185,GALAXY
6186,GALAXY
6187,GALAXY
6188,STAR
6189,STAR
6190,GALAXY
6191,GALAXY
6192,STAR
6193,GALAXY
6194,GALAXY
6195,GALAXY
6196,GALAXY
6197,STAR
6198,QSO
6199,GALAXY
6200,GALAXY
6201,GALAXY
6202,GALAXY
6203,GALAXY
6204,GALAXY
6205,GALAXY
6206,GALAXY
6207,STAR
6208,GALAXY
6209,GALAXY
6210,STAR
6211,GALAXY
6212,STAR
6213,GALAXY
6214,STAR
6215,GALAXY
6216,GALAXY
6217,QSO
6218,GALAXY
6219,GALAXY
6220,GALAXY
6221,GALAXY
6222,GALAXY
6223,STAR
6224,STAR
6225,QSO
6226,GALAXY
6227,QSO
6228,STAR
6229,GALAXY
6230,GALAXY
6231,STAR
6232,STAR
6233,STAR
6234,STAR
6235,STAR
6236,GALAXY
6237,GALAXY
6238,GALAXY
6239,GALAXY
6240,STAR
6241,GALAXY
6242,STAR
6243,GALAXY
6244,STAR
6245,GALAXY
6246,STAR
6247,STAR
6248,STAR
6249,STAR
6250,QSO
6251,GALAXY
6252,STAR
6253,GALAXY
6254,GALAXY
6255,GALAXY
6256,STAR
6257,STAR
6258,QSO
6259,GALAXY
6260,STAR
6261,STAR
6262,GALAXY
6263,GALAXY
6264,STAR
6265,GALAXY
6266,GALAXY
6267,QSO
6268,GALAXY
6269,GALAXY
6270,GALAXY
6271,GALAXY
6272,GALAXY
6273,STAR
6274,STAR
6275,STAR
6276,STAR
6277,STAR
6278,GALAXY
6279,GALAXY
6280,STAR
6281,STAR
6282,GALAXY
6283,GALAXY
6284,STAR
6285,GALAXY
6286,GALAXY
6287,GALAXY
6288,STAR
6289,GALAXY
6290,GALAXY
6291,GALAXY
6292,GALAXY
6293,STAR
6294,STAR
6295,STAR
6296,STAR
6297,STAR
6298,STAR
6299,GALAXY
6300,STAR
6301,QSO
6302,STAR
6303,STAR
6304,STAR
6305,GALAXY
6306,GALAXY
6307,GALAXY
6308,GALAXY
6309,QSO
6310,GALAXY
6311,GALAXY
6312,GALAXY
6313,STAR
6314,QSO
6315,STAR
6316,GALAXY
6317,STAR
6318,STAR
6319,GALAXY
6320,GALAXY
6321,STAR
6322,STAR
6323,QSO
6324,STAR
6325,GALAXY
6326,GALAXY
6327,STAR
6328,STAR
6329,STAR
6330,GALAXY
6331,GALAXY
6332,GALAXY
6333,GALAXY
6334,STAR
6335,GALAXY
6336,GALAXY
6337,GALAXY
6338,GALAXY
6339,GALAXY
6340,GALAXY
6341,QSO
6342,GALAXY
6343,GALAXY
6344,STAR
6345,GALAXY
6346,STAR
6347,STAR
6348,GALAXY
6349,GALAXY
6350,GALAXY
6351,GALAXY
6352,GALAXY
6353,QSO
6354,STAR
6355,STAR
6356,STAR
6357,QSO
6358,GALAXY
6359,GALAXY
6360,GALAXY
6361,GALAXY
6362,GALAXY
6363,GALAXY
6364,GALAXY
6365,STAR
6366,GALAXY
6367,GALAXY
6368,STAR
6369,STAR
6370,STAR
6371,STAR
6372,QSO
6373,GALAXY
6374,STAR
6375,QSO
6376,GALAXY
6377,STAR
6378,GALAXY
6379,QSO
6380,STAR
6381,STAR
6382,GALAXY
6383,STAR
6384,STAR
6385,STAR
6386,STAR
6387,STAR
6388,QSO
6389,STAR
6390,STAR
6391,QSO
6392,GALAXY
6393,GALAXY
6394,STAR
6395,STAR
6396,STAR
6397,GALAXY
6398,GALAXY
6399,QSO
6400,QSO
6401,GALAXY
6402,GALAXY
6403,QSO
6404,GALAXY
6405,GALAXY
6406,GALAXY
6407,GALAXY
6408,STAR
6409,GALAXY
6410,QSO
6411,GALAXY
6412,STAR
6413,QSO
6414,GALAXY
6415,GALAXY
6416,GALAXY
6417,GALAXY
6418,STAR
6419,STAR
6420,GALAXY
6421,GALAXY
6422,GALAXY
6423,GALAXY
6424,STAR
6425,GALAXY
6426,GALAXY
6427,STAR
6428,GALAXY
6429,GALAXY
6430,STAR
6431,GALAXY
6432,QSO
6433,GALAXY
6434,GALAXY
6435,STAR
6436,GALAXY
6437,GALAXY
6438,GALAXY
6439,QSO
6440,STAR
6441,GALAXY
6442,GALAXY
6443,GALAXY
6444,GALAXY
6445,GALAXY
6446,STAR
6447,QSO
6448,GALAXY
6449,QSO
6450,STAR
6451,GALAXY
6452,GALAXY
6453,STAR
6454,STAR
6455,GALAXY
6456,GALAXY
6457,GALAXY
6458,GALAXY
6459,GALAXY
6460,GALAXY
6461,GALAXY
6462,GALAXY
6463,GALAXY
6464,GALAXY
6465,STAR
6466,GALAXY
6467,STAR
6468,STAR
6469,QSO
6470,STAR
6471,GALAXY
6472,GALAXY
6473,STAR
6474,STAR
6475,QSO
6476,GALAXY
6477,GALAXY
6478,GALAXY
6479,STAR
6480,GALAXY
6481,GALAXY
6482,GALAXY
6483,STAR
6484,STAR
6485,STAR
6486,STAR
6487,STAR
6488,STAR
6489,STAR
6490,GALAXY
6491,GALAXY
6492,GALAXY
6493,GALAXY
6494,STAR
6495,QSO
6496,GALAXY
6497,STAR
6498,STAR
6499,QSO
6500,STAR
6501,GALAXY
6502,STAR
6503,GALAXY
6504,GALAXY
6505,GALAXY
6506,GALAXY
6507,QSO
6508,QSO
6509,GALAXY
6510,STAR
6511,STAR
6512,GALAXY
6513,STAR
6514,GALAXY
6515,STAR
6516,GALAXY
6517,GALAXY
6518,QSO
6519,STAR
6520,GALAXY
6521,STAR
6522,GALAXY
6523,GALAXY
6524,GALAXY
6525,GALAXY
6526,GALAXY
6527,STAR
6528,STAR
6529,GALAXY
6530,QSO
6531,STAR
6532,GALAXY
6533,GALAXY
6534,GALAXY
6535,STAR
6536,GALAXY
6537,QSO
6538,STAR
6539,GALAXY
6540,GALAXY
6541,GALAXY
6542,GALAXY
6543,STAR
6544,STAR
6545,STAR
6546,QSO
6547,QSO
6548,STAR
6549,STAR
6550,QSO
6551,QSO
6552,QSO
6553,GALAXY
6554,GALAXY
6555,GALAXY
6556,GALAXY
6557,GALAXY
6558,QSO
6559,GALAXY
6560,GALAXY
6561,GALAXY
6562,GALAXY
6563,GALAXY
6564,GALAXY
6565,QSO
6566,GALAXY
6567,GALAXY
6568,STAR
6569,STAR
6570,GALAXY
6571,QSO
6572,STAR
6573,STAR
6574,GALAXY
6575,GALAXY
6576,GALAXY
6577,STAR
6578,GALAXY
6579,GALAXY
6580,STAR
6581,STAR
6582,STAR
6583,QSO
6584,GALAXY
6585,STAR
6586,GALAXY
6587,GALAXY
6588,GALAXY
6589,GALAXY
6590,GALAXY
6591,GALAXY
6592,GALAXY
6593,GALAXY
6594,GALAXY
6595,STAR
6596,STAR
6597,QSO
6598,QSO
6599,STAR
6600,GALAXY
6601,STAR
6602,GALAXY
6603,GALAXY
6604,STAR
6605,STAR
6606,QSO
6607,QSO
6608,STAR
6609,GALAXY
6610,STAR
6611,STAR
6612,GALAXY
6613,GALAXY
6614,STAR
6615,STAR
6616,GALAXY
6617,GALAXY
6618,QSO
6619,QSO
6620,STAR
6621,GALAXY
6622,STAR
6623,GALAXY
6624,STAR
6625,STAR
6626,GALAXY
6627,GALAXY
6628,STAR
6629,STAR
6630,GALAXY
6631,GALAXY
6632,STAR
6633,STAR
6634,STAR
6635,STAR
6636,GALAXY
6637,GALAXY
6638,GALAXY
6639,GALAXY
6640,STAR
6641,STAR
6642,GALAXY
6643,GALAXY
6644,GALAXY
6645,GALAXY
6646,GALAXY
6647,STAR
6648,QSO
6649,STAR
6650,GALAXY
6651,GALAXY
6652,STAR
6653,STAR
6654,STAR
6655,GALAXY
6656,GALAXY
6657,GALAXY
6658,GALAXY
6659,GALAXY
6660,STAR
6661,GALAXY
6662,GALAXY
6663,STAR
6664,STAR
6665,STAR
6666,STAR
6667,STAR
6668,GALAXY
6669,GALAXY
6670,GALAXY
6671,STAR
6672,QSO
6673,QSO
6674,QSO
6675,GALAXY
6676,STAR
6677,GALAXY
6678,GALAXY
6679,GALAXY
6680,STAR
6681,STAR
6682,GALAXY
6683,GALAXY
6684,STAR
6685,GALAXY
6686,GALAXY
6687,STAR
6688,GALAXY
6689,STAR
6690,GALAXY
6691,GALAXY
6692,STAR
6693,STAR
6694,STAR
6695,GALAXY
6696,STAR
6697,GALAXY
6698,GALAXY
6699,GALAXY
6700,GALAXY
6701,GALAXY
6702,GALAXY
6703,GALAXY
6704,QSO
6705,GALAXY
6706,GALAXY
6707,GALAXY
6708,GALAXY
6709,STAR
6710,STAR
6711,STAR
6712,STAR
6713,GALAXY
6714,GALAXY
6715,GALAXY
6716,GALAXY
6717,QSO
6718,GALAXY
6719,GALAXY
6720,QSO
6721,GALAXY
6722,GALAXY
6723,STAR
6724,STAR
6725,GALAXY
6726,GALAXY
6727,GALAXY
6728,STAR
6729,STAR
6730,STAR
6731,GALAXY
6732,STAR
6733,QSO
6734,STAR
6735,GALAXY
6736,GALAXY
6737,GALAXY
6738,GALAXY
6739,GALAXY
6740,GALAXY
6741,STAR
6742,GALAXY
6743,STAR
6744,STAR
6745,STAR
6746,STAR
6747,STAR
6748,STAR
6749,STAR
6750,STAR
6751,GALAXY
6752,STAR
6753,STAR
6754,STAR
6755,GALAXY
6756,GALAXY
6757,GALAXY
6758,STAR
6759,STAR
6760,STAR
6761,GALAXY
6762,STAR
6763,GALAXY
6764,STAR
6765,GALAXY
6766,GALAXY
6767,GALAXY
6768,STAR
6769,STAR
6770,STAR
6771,GALAXY
6772,GALAXY
6773,GALAXY
6774,GALAXY
6775,QSO
6776,GALAXY
6777,GALAXY
6778,GALAXY
6779,GALAXY
6780,QSO
6781,GALAXY
6782,GALAXY
6783,STAR
6784,GALAXY
6785,GALAXY
6786,QSO
6787,STAR
6788,GALAXY
6789,STAR
6790,QSO
6791,GALAXY
6792,QSO
6793,QSO
6794,GALAXY
6795,GALAXY
6796,QSO
6797,STAR
6798,GALAXY
6799,GALAXY
6800,GALAXY
6801,STAR
6802,GALAXY
6803,GALAXY
6804,QSO
6805,GALAXY
6806,GALAXY
6807,GALAXY
6808,STAR
6809,GALAXY
6810,QSO
6811,STAR
6812,GALAXY
6813,STAR
6814,STAR
6815,QSO
6816,STAR
6817,STAR
6818,GALAXY
6819,STAR
6820,GALAXY
6821,GALAXY
6822,STAR
6823,STAR
6824,GALAXY
6825,GALAXY
6826,STAR
6827,GALAXY
6828,GALAXY
6829,STAR
6830,STAR
6831,STAR
6832,STAR
6833,QSO
6834,STAR
6835,STAR
6836,STAR
6837,GALAXY
6838,STAR
6839,STAR
6840,GALAXY
6841,STAR
6842,QSO
6843,GALAXY
6844,QSO
6845,GALAXY
6846,STAR
6847,GALAXY
6848,GALAXY
6849,GALAXY
6850,STAR
6851,QSO
6852,STAR
6853,STAR
6854,GALAXY
6855,GALAXY
6856,STAR
6857,STAR
6858,GALAXY
6859,QSO
6860,GALAXY
6861,STAR
6862,QSO
6863,STAR
6864,GALAXY
6865,GALAXY
6866,QSO
6867,GALAXY
6868,GALAXY
6869,GALAXY
6870,QSO
6871,GALAXY
6872,GALAXY
6873,STAR
6874,GALAXY
6875,STAR
6876,GALAXY
6877,STAR
6878,GALAXY
6879,STAR
6880,STAR
6881,GALAXY
6882,GALAXY
6883,QSO
6884,GALAXY
6885,GALAXY
6886,GALAXY
6887,GALAXY
6888,GALAXY
6889,STAR
6890,GALAXY
6891,GALAXY
6892,QSO
6893,GALAXY
6894,GALAXY
6895,GALAXY
6896,GALAXY
6897,GALAXY
6898,STAR
6899,STAR
6900,STAR
6901,STAR
6902,STAR
6903,STAR
6904,GALAXY
6905,QSO
6906,STAR
6907,QSO
6908,STAR
6909,GALAXY
6910,GALAXY
6911,STAR
6912,QSO
6913,STAR
6914,GALAXY
6915,QSO
6916,GALAXY
6917,GALAXY
6918,QSO
6919,STAR
6920,GALAXY
6921,GALAXY
6922,GALAXY
6923,STAR
6924,STAR
6925,GALAXY
6926,STAR
6927,GALAXY
6928,GALAXY
6929,QSO
6930,GALAXY
6931,GALAXY
6932,GALAXY
6933,STAR
6934,QSO
6935,STAR
6936,GALAXY
6937,GALAXY
6938,STAR
6939,GALAXY
6940,GALAXY
6941,GALAXY
6942,STAR
6943,STAR
6944,GALAXY
6945,GALAXY
6946,GALAXY
6947,GALAXY
6948,GALAXY
6949,GALAXY
6950,GALAXY
6951,STAR
6952,STAR
6953,GALAXY
6954,STAR
6955,STAR
6956,STAR
6957,STAR
6958,STAR
6959,GALAXY
6960,GALAXY
6961,STAR
6962,GALAXY
6963,GALAXY
6964,GALAXY
6965,GALAXY
6966,GALAXY
6967,GALAXY
6968,STAR
6969,STAR
6970,GALAXY
6971,GALAXY
6972,GALAXY
6973,STAR
6974,STAR
6975,STAR
6976,STAR
6977,GALAXY
6978,GALAXY
6979,GALAXY
6980,GALAXY
6981,STAR
6982,STAR
6983,STAR
6984,GALAXY
6985,STAR
6986,STAR
6987,GALAXY
6988,GALAXY
6989,STAR
6990,GALAXY
6991,GALAXY
6992,GALAXY
6993,STAR
6994,QSO
6995,GALAXY
6996,STAR
6997,STAR
6998,STAR
6999,STAR
7000,STAR
7001,GALAXY
7002,GALAXY
7003,STAR
7004,STAR
7005,GALAXY
7006,GALAXY
7007,GALAXY
7008,STAR
7009,STAR
7010,GALAXY
7011,STAR
7012,GALAXY
7013,GALAXY
7014,STAR
7015,STAR
7016,STAR
7017,GALAXY
7018,GALAXY
7019,GALAXY
7020,GALAXY
7021,GALAXY
7022,STAR
7023,GALAXY
7024,GALAXY
7025,GALAXY
7026,STAR
7027,STAR
7028,GALAXY
7029,GALAXY
7030,STAR
7031,STAR
7032,GALAXY
7033,GALAXY
7034,GALAXY
7035,STAR
7036,STAR
7037,GALAXY
7038,GALAXY
7039,GALAXY
7040,STAR
7041,GALAXY
7042,GALAXY
7043,GALAXY
7044,GALAXY
7045,GALAXY
7046,GALAXY
7047,QSO
7048,QSO
7049,STAR
7050,QSO
7051,QSO
7052,STAR
7053,STAR
7054,QSO
7055,STAR
7056,GALAXY
7057,GALAXY
7058,GALAXY
7059,STAR
7060,STAR
7061,STAR
7062,STAR
7063,GALAXY
7064,GALAXY
7065,GALAXY
7066,GALAXY
7067,QSO
7068,STAR
7069,STAR
7070,GALAXY
7071,STAR
7072,STAR
7073,GALAXY
7074,QSO
7075,STAR
7076,GALAXY
7077,GALAXY
7078,STAR
7079,GALAXY
7080,STAR
7081,STAR
7082,GALAXY
7083,GALAXY
7084,GALAXY
7085,GALAXY
7086,STAR
7087,STAR
7088,GALAXY
7089,STAR
7090,GALAXY
7091,STAR
7092,STAR
7093,GALAXY
7094,STAR
7095,STAR
7096,GALAXY
7097,GALAXY
7098,GALAXY
7099,STAR
7100,GALAXY
7101,GALAXY
7102,STAR
7103,GALAXY
7104,GALAXY
7105,STAR
7106,STAR
7107,STAR
7108,GALAXY
7109,QSO
7110,GALAXY
7111,STAR
7112,GALAXY
7113,STAR
7114,STAR
7115,STAR
7116,STAR
7117,STAR
7118,GALAXY
7119,GALAXY
7120,GALAXY
7121,GALAXY
7122,STAR
7123,QSO
7124,STAR
7125,STAR
7126,GALAXY
7127,GALAXY
7128,GALAXY
7129,STAR
7130,GALAXY
7131,STAR
7132,STAR
7133,STAR
7134,QSO
7135,GALAXY
7136,GALAXY
7137,QSO
7138,QSO
7139,QSO
7140,STAR
7141,QSO
7142,STAR
7143,GALAXY
7144,GALAXY
7145,GALAXY
7146,GALAXY
7147,GALAXY
7148,GALAXY
7149,STAR
7150,GALAXY
7151,GALAXY
7152,GALAXY
7153,STAR
7154,STAR
7155,GALAXY
7156,GALAXY
7157,GALAXY
7158,QSO
7159,GALAXY
7160,GALAXY
7161,GALAXY
7162,STAR
7163,STAR
7164,GALAXY
7165,STAR
7166,STAR
7167,GALAXY
7168,STAR
7169,STAR
7170,GALAXY
7171,QSO
7172,GALAXY
7173,QSO
7174,STAR
7175,GALAXY
7176,GALAXY
7177,GALAXY
7178,STAR
7179,STAR
7180,STAR
